t,atm,nr1s,nr1o,nr1x,nr2s,nr2o,nr2x,nr3s,nr3o,nr3x,fc,fp,ff,fmp,fvp,fcp,sp
20260526T120000Z,7475,7730,2010,C,7880,2050,C,6840,3841,P,7650,7425,7464.0805,5250,7325,7325,7473.47
20260526T133500Z,7475,7730,2010,C,7880,2050,C,6840,3841,P,7650,7425,7463.2495,5250,7325,6810,7473.47
20260526T163000Z,7515,7730,2010,C,7880,2050,C,6840,3841,P,7635,7425,7514.1239,5250,7425,7325,7514.41
20260526T195500Z,7515,7730,2010,C,7880,2050,C,6840,3841,P,7650,7425,7514.1267,5250,7425,6810,7512.73
20260527T120000Z,7520,7500,5172,C,7540,2199,C,7550,3761,C,7650,7500,7495.064,5650,7435,7650,7519.12
20260527T133500Z,7520,7500,5172,C,7540,2199,C,7550,3761,C,7650,7500,7495.0573,5650,7435,7650,7519.12
20260527T163000Z,7520,7500,5172,C,7540,2199,C,7550,3761,C,7650,7500,7495.0573,5650,7435,7650,7519.12
20260527T195500Z,7525,7540,2199,C,7550,3761,C,7500,5172,C,7650,7500,7544.3193,5650,7435,7650,7525.54
20260528T120000Z,7520,7500,2299,C,7450,3752,P,7600,2563,C,7600,7450,7515.8682,5600,7450,7350,7520.36
20260528T133500Z,7520,7500,2772,C,7450,3732,P,7600,2406,C,7550,7500,7524.2119,5600,7450,6150,7520.36
20260528T163000Z,7560,7600,2406,C,7500,2772,C,7650,2133,C,7670,7500,7574.3933,5600,7450,7400,7560.38
20260528T195500Z,7565,7600,2406,C,7500,2772,C,7650,2133,C,7670,7500,7574.2857,5600,7350,6150,7565.66
20260529T120000Z,7565,7350,2124,P,6300,5723,P,6150,5334,P,7735,7460,7568.6527,5550,7450,7350,7563.63
20260529T133500Z,7565,7350,2124,P,6300,5723,P,6150,5334,P,7735,7460,7568.6527,5550,7500,7350,7563.63
20260529T163000Z,7565,7350,2124,P,6300,5723,P,6150,5334,P,7735,7460,7568.6527,5550,7500,7350,7563.63
20260529T195500Z,7565,7350,2124,P,6300,5723,P,6150,5334,P,7735,7460,7568.6527,5550,7500,7350,7563.63
20260601T120000Z,7580,7550,2026,C,7525,2663,C,7500,4595,C,7745,7150,7570.5251,5550,7500,7745,7580.06
20260601T133500Z,7580,7550,2026,C,7525,2663,C,7500,4595,C,7745,7150,7570.5251,5550,7500,7745,7580.06
