t,atm,nr1s,nr1o,nr1x,nr2s,nr2o,nr2x,nr3s,nr3o,nr3x,fc,fp,ff,fmp,fvp,fcp,sp
20260526T120000Z,7475,7450,6545,P,7500,2259,C,7505,5491,C,7505,7450,7473.4909,7215,7400,7530,7473.47
20260526T133500Z,7475,7450,6545,P,7500,2259,C,7505,5491,C,7530,7450,7500.1388,7215,7425,7425,7473.47
20260526T163000Z,7515,7520,2023,C,7505,5491,C,7500,2259,C,7530,7450,7518.0272,7215,7450,7450,7514.41
20260526T195500Z,7515,7500,2032,C,7625,2202,C,7400,3339,P,7520,7400,7436.7794,7175,7400,7625,7513.31
20260527T120000Z,7520,7530,4429,C,7500,4495,C,7475,5029,P,7530,7450,7522.8986,6960,7450,7450,7519.12
20260527T133500Z,7520,7530,4429,C,7500,4495,C,7555,4171,C,7555,7475,7525.082,7140,7450,7450,7519.12
20260527T163000Z,7510,7500,4495,C,7530,4429,C,7475,5029,P,7555,7475,7513.4115,7140,7450,7450,7511.53
20260527T195500Z,7525,7530,4429,C,7500,4495,C,7555,4171,C,7555,7475,7522.9439,7140,7475,7450,7525.54
20260528T120000Z,7520,7520,2752,C,7525,2219,C,7530,3932,C,7600,7485,7494.0796,6200,7400,7600,7520.36
20260528T133500Z,7515,7510,4719,C,7520,3249,C,7525,2198,C,7620,7500,7527.8663,6200,7450,7400,7514.85
20260528T163000Z,7560,7555,2239,C,7570,4024,C,7550,6598,C,7620,7550,7564.6075,6200,7500,7620,7560.38
20260528T195500Z,7565,7570,4024,C,7575,3872,C,7555,2239,C,7620,7500,7564.5974,6200,7500,7620,7565.66
20260529T120000Z,7565,7550,5887,C,7590,5737,C,7600,5962,C,7600,7550,7564.4853,7275,7600,7600,7563.63
20260529T133500Z,7565,7550,5887,C,7590,5737,C,7600,5962,C,7600,7550,7564.4853,7275,7600,7600,7563.63
20260529T163000Z,7565,7550,5887,C,7590,5737,C,7600,5962,C,7600,7550,7564.4853,7275,7600,7600,7563.63
20260529T195500Z,7565,7550,5887,C,7590,5737,C,7600,5962,C,7600,7550,7564.4853,7275,7600,7600,7563.63
20260601T120000Z,7580,7550,5684,P,7615,2005,C,7525,3664,P,7615,7525,7585.4472,7225,7525,7525,7580.06
20260601T133500Z,7580,7550,5684,P,7615,2005,C,7525,3664,P,7615,7525,7585.4471,7225,7550,7525,7580.06
20260601T163000Z,7580,7550,5684,P,7615,2005,C,7525,3664,P,7615,7525,7585.4471,7225,7550,7525,7580.06
20260601T195500Z,7580,7550,5684,P,7615,2005,C,7525,3664,P,7615,7525,7585.4471,7225,7550,7525,7580.06
20260602T120000Z,7580,7550,5684,P,7615,2005,C,7525,3664,P,7615,7525,7585.4471,7225,7550,7525,7580.06
20260608T120000Z,7385,7375,3610,P,7400,3097,P,7350,2956,P,7500,7375,7414.3896,7350,7300,7500,7383.74
20260608T133500Z,7385,7375,3610,P,7400,3097,P,7350,2956,P,7500,7375,7414.6346,7350,7300,7500,7383.74
20260608T163000Z,7440,7450,4174,P,7425,2247,P,7400,3097,P,7500,7425,7442.578,7350,7500,7500,7441.38
20260608T195500Z,7405,7375,2083,P,7350,2494,P,7300,2052,P,7600,7370,7326.6213,7375,7300,7370,7407.27
20260609T120000Z,7405,7400,3170,P,7450,2000,P,7500,8655,P,7525,7400,7484.5591,7335,7500,7500,7405.73
20260609T133500Z,7405,7400,3170,P,7450,2000,P,7500,8655,P,7525,7400,7484.5591,7335,7500,7500,7405.73
20260609T163000Z,7285,7300,3371,P,7255,2701,P,7190,2950,P,7525,7255,7215.0326,7335,7500,7500,7287.5
20260609T195500Z,7340,7300,3371,P,7400,3170,P,7255,2701,P,7525,7300,7215.0326,7335,7300,7500,7339.96
20260610T120000Z,7385,7300,2303,P,7220,3032,P,7825,3005,C,7560,7220,7377.3057,7340,7300,7220,7386.65
20260610T133500Z,7385,7300,2303,P,7220,3032,P,7825,3005,C,7560,7220,7377.3057,7340,7300,7220,7386.65
20260610T163000Z,7320,7300,2303,P,7220,3032,P,7825,3005,C,7375,7220,7321.6465,7340,7220,7220,7318.52
20260616T195500Z,7515,7500,5216,C,7495,5056,C,7450,2565,C,7590,7360,7516.074,7250,7600,7590,7515.68
20260617T120000Z,7510,7510,2290,P,7505,2846,C,7520,2430,P,7600,7495,7536.0255,7275,7600,7600,7511.35
20260617T133500Z,7515,7520,2430,P,7510,2290,P,7525,2778,P,7600,7495,7535.6894,7275,7600,7600,7515.01
20260617T163000Z,7520,7525,2121,C,7530,3113,C,7500,9373,C,7550,7500,7524.1301,5850,7600,7355,7518.82
20260618T120000Z,7420,7420,2022,P,7425,3689,P,7430,3238,C,7600,7400,7434.8428,6250,7600,7400,7420.1
20260618T133500Z,7495,7500,7753,P,7550,4830,C,7425,2317,P,7500,7345,7495.5636,7010,7600,7350,7496.96
20260618T163000Z,7490,7490,2184,C,7480,3200,P,7500,10710,C,7490,7475,7485.4953,6250,7600,7400,7489.48
20260618T195500Z,7500,7500,7753,P,7550,4830,C,7575,2842,C,7575,7400,7503.4302,7010,7600,7350,7502.13
20260622T120000Z,7500,7500,2373,C,7475,2156,P,7600,3818,C,7530,7345,7495.4975,7230,7345,7345,7500.58
20260622T133500Z,7510,7500,2730,C,7475,2295,P,7550,2609,P,7600,7490,7507.0469,7060,7600,7345,7508.95
