t,atm,nr1s,nr1o,nr1x,nr2s,nr2o,nr2x,nr3s,nr3o,nr3x,fc,fp,ff,fmp,fvp,fcp,sp
20260528T120000Z,134,134,1682,C,133,1607,C,135,4780,C,136,126,132.0192,141,136,136,133.85
20260528T133500Z,134,134,1682,C,133,1607,C,135,4780,C,136,126,132.0191,141,136,136,133.84
20260528T163000Z,134,134,1682,C,133,1607,C,135,4780,C,136,126,132.0191,141,136,136,133.84
20260528T195500Z,134,134,1682,C,133,1607,C,135,4780,C,136,126,132.0191,141,136,136,133.84
20260529T120000Z,146,146,1852,C,145,9160,C,147,2990,C,150,140,140.7059,145,150,142,145.625
20260529T133500Z,148,148,2265,C,147,2990,C,149,1392,C,150,140,140.6611,145,150,150,147.645
20260529T163000Z,148,148,2265,C,147,2990,C,149,1392,C,150,140,140.6611,145,150,150,147.645
20260529T195500Z,148,148,2265,C,147,2990,C,149,1392,C,150,140,140.6611,145,150,150,147.645
20260601T120000Z,160,160,8045,C,157.5,1200,C,162.5,533,C,160,,,145,155,155,159.415
20260601T133500Z,160,160,8045,C,157.5,1200,C,162.5,533,C,160,,,145,155,155,159.415
20260601T163000Z,160,160,30097,C,157.5,8434,C,162.5,2375,C,160,155,155.3906,155,165,165,159.54
20260601T195500Z,160,160,30097,C,157.5,8434,C,162.5,2375,C,160,155,155.3906,155,165,165,159.54
20260602T120000Z,160,160,30097,C,157.5,8434,C,162.5,2375,C,160,155,155.3906,155,165,165,159.54
20260602T133500Z,160,160,30097,C,157.5,8434,C,162.5,2375,C,160,155,155.3906,155,165,165,159.54
